Symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
BHARTIARTL
ITC
SBIN
LT
BAJFINANCE
HINDUNILVR
MARUTI
SUNPHARMA
TATASTEEL
TATAMOTORS
AXISBANK
NTPC
ONGC
POWERGRID
ADANIENT
COALINDIA
TITAN
ULTRACEMCO
WIPRO
NESTLEIND
GRASIM
TECHM
JSWSTEEL
HCLTECH
HEROMOTOCO
DRREDDY
CIPLA
APOLLOHOSP
BAJAJ-AUTO
EICHERMOT
BPCL
DIVISLAB
TATACONSUM
BRITANNIA
BEL
HAL
TRENT
VBL
